compare_label	comparison	region_label	filter	variant_type	truth_total	truth_tp	truth_fn	query_total	query_tp	query_fp	metric_recall	metric_precision	metric_f1	truth_fn_gt	query_fp_gt
compare	GT	ALL	ALL	ALL	2	1	1	2	1	1	0.5	0.5	0.5	0	0
compare	GT	ALL	ALL	Snv	1	1	0	1	1	0	1.0	1.0	1.0	0	0
compare	GT	ALL	ALL	Deletion	1	0	1	1	0	1	0.0	0.0	NaN	0	0
compare	GT	ALL	ALL	JointIndel	1	0	1	1	0	1	0.0	0.0	NaN	0	0
compare	HAP	ALL	ALL	ALL	2	1	1	2	1	1	0.5	0.5	0.5		
compare	HAP	ALL	ALL	Snv	1	1	0	1	1	0	1.0	1.0	1.0		
compare	HAP	ALL	ALL	Deletion	1	0	1	1	0	1	0.0	0.0	NaN		
compare	HAP	ALL	ALL	JointIndel	1	0	1	1	0	1	0.0	0.0	NaN		
compare	WEIGHTED_HAP	ALL	ALL	ALL	2	1	1	2	1	1	0.5	0.5	0.5		
compare	WEIGHTED_HAP	ALL	ALL	Snv	1	1	0	1	1	0	1.0	1.0	1.0		
compare	WEIGHTED_HAP	ALL	ALL	Deletion	1	0	1	1	0	1	0.0	0.0	NaN		
compare	WEIGHTED_HAP	ALL	ALL	JointIndel	1	0	1	1	0	1	0.0	0.0	NaN		
compare	BASEPAIR	ALL	ALL	ALL	4	3	1	4	3	1	0.75	0.75	0.75		
compare	BASEPAIR	ALL	ALL	Snv	2	2	0	2	2	0	1.0	1.0	1.0		
compare	BASEPAIR	ALL	ALL	Deletion	2	1	1	2	1	1	0.5	0.5	0.5		
compare	BASEPAIR	ALL	ALL	JointIndel	2	1	1	2	1	1	0.5	0.5	0.5		
